"Sample";"Time point";"Duration";"Model";"Regression";"Dependent variable";"Level";"Independent variable";"Estimate";"95% CI low";"95% CI up";"SE";"z score";"p value";"Model_Variant"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"pc4";0,95;0,75;1,21;0,12;-0,4;"0.69";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"pc5";0,48;0,15;1,56;0,61;-1,23;"0.22";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"pc6";0,86;0,63;1,18;0,16;-0,94;"0.35";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"batchb02";5,32;0,35;81,16;1,39;1,2;"0.23";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"batchb03";2,48;0,16;39,23;1,41;0,64;"0.52";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"batchb04";1,24;0,06;23,78;1,51;0,14;"0.89";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"batchb05";0;0;0;0,02;-401,34;"0.00e+00";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"batchb06";7,11;0,77;65,4;1,13;1,73;"0.08";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"batchb07";0,01;0;3,580566e+24;31,49;-0,16;"0.87";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"batchb08";13,26;1,87;94,31;1;2,58;"0.010";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"batchb09";8,53;1,18;61,89;1,01;2,12;"0.03";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"batchb10";0;0;0;0,02;-437,53;"0.00e+00";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"batchb11";0,02;0;8,411552e+15;20,66;-0,18;"0.85";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"batchb12";12,21;1,71;87,13;1;2,5;"0.01";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"batchb15";3,83;0,25;58,77;1,39;0,97;"0.33";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"batchb16";2,62;0,31;21,81;1,08;0,89;"0.37";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"batchb17";2,69;0,17;42,87;1,41;0,7;"0.48";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"batchb18";0,19;0;6,513248e+18;22,95;-0,07;"0.94";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"batchb19";12,2;1,15;129,56;1,21;2,08;"0.04";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"batchb20";0;0;1,794843e+27;34,78;-0,16;"0.88";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"batchb21";23,11;3,26;163,76;1;3,14;"0.002";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Self-define";"batchb24";28,89;4,06;205,56;1;3,36;"7.82e-04";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"Intercept";0;0;0,74;5,36;-2,02;"0.04";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"SCORE";1;1;1;0;-11,81;"3.49e-32";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"pc1";0,87;0,65;1,17;0,15;-0,91;"0.36";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"pc2";1;0,62;1,62;0,24;0,02;"0.98";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"pc3";0,91;0,64;1,29;0,18;-0,52;"0.60";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"pc4";0,95;0,72;1,25;0,14;-0,36;"0.72";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"pc5";0,53;0,11;2,52;0,79;-0,79;"0.43";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"pc6";0,75;0,49;1,16;0,22;-1,28;"0.20";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"batchb02";1,51;0;9077602000;11,49;0,04;"0.97";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"batchb03";78,17;0;3398867;5,45;0,8;"0.42";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"batchb04";138,22;0;5371657;5,39;0,91;"0.36";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"batchb05";0,1;0;1,003966e+26;31,71;-0,07;"0.94";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"batchb06";198,41;0,01;7699225;5,39;0,98;"0.33";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"batchb07";0,32;0;2,188946e+19;23,3;-0,05;"0.96";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"batchb08";374,87;0,01;13770090;5,36;1,11;"0.27";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"batchb09";330,55;0,01;12150990;5,36;1,08;"0.28";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"batchb10";0,15;0;2,312418e+19;23,71;-0,08;"0.94";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"batchb11";0,25;0;2,420103e+28;34,05;-0,04;"0.97";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"batchb12";292,34;0,01;10762050;5,36;1,06;"0.29";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"batchb15";118,69;0;5163078;5,45;0,88;"0.38";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"batchb16";14,66;0;658597,5;5,47;0,49;"0.62";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"batchb17";93,85;0;4075003;5,45;0,83;"0.40";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"batchb18";0,32;0,15;0,71;0,4;-2,83;"0.005";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"batchb19";0,16;0;4,60805e+28;34,62;-0,05;"0.96";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"batchb20";0,23;0;1,376002e+23;27,94;-0,05;"0.96";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"batchb21";620,96;0,02;22804250;5,36;1,2;"0.23";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_dep_No_Control";"Multinomial";"gender";"Trans man";"batchb24";839,11;0,02;30824160;5,36;1,26;"0.21";"Without Study Status"
